id,store_name,address,lat,lang,created_at,updated_at,deleted_at,slug,status,city_id,store_id,city,state
46,Rajpura - KFC ,"KFC Miles Mall, Rajpura Haveli, Fatehgarh Sahib, NH-1, Pin 140401",30.549679,76.487403,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,72,46,Rajpura,Punjab
140,Ropar - KFC ,"KFC Heritage Haveli Near 6th Milestone Kurali Ropar Road, NH21 Rupnagar District, Khabra, Pin 140001",30.898731,76.547558,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,73,140,Rupnagar,Punjab
133,Jipmer - KFC ,"KFC New Survey No 238/2, P.No. 10 To 21, Pattanur Village, Vannur Sub Road, Thiruchittrambalam Panchayat, Tindivanam, Pin 605001",11.960395,79.7948299,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,40,133,Puducherry,Pondicherry
134,Providence Mall - KFC    ,"KFC Providence Mall Ambedkar Nagar, Orleanpet, Pin 605005",11.928666,79.820018,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,40,134,Puducherry,Pondicherry
103,Ampa Mall - KFC ,"KFC Ampa Sky Walk Mall, Shop No:-4, No:1, Nelson Manickam Road, 627, Poonamallee High Road, Amijikarai, Pin 600029",13.07391027,80.221594,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,103,Chennai,Tamil Nadu
104,Anna Nagar - KFC ,"KFC Plot No: 995 J, New No:172, 2nd Avenue, Anna Nagar, Pin 600040",13.08539677,80.20410731,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,104,Chennai,Tamil Nadu
105,Ashok Nagar - KFC,"KFC Old No 96 & 97, New No 43 & 44, 11th Avenue, Ashok Nagar, Pin 600083",13.0316,80.2115357,2019-10-11 07:17:00,2020-07-11 18:32:05,,kfc,1,4,105,Chennai,Tamil Nadu
106,Besant Nagar - KFC ,"KFC H-136/1, H-136/2, 6th Avenue, Elliots Beach, Besant Nagar, Pin 600097",13.0005435,80.270836,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,106,Chennai,Tamil Nadu
107,Chrompet - KFC  ,"KFC Chrompet, Door No: 5, GST Road, Tambaram, Pin 600047",12.9433075,80.134319,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,107,Chennai,Tamil Nadu
108,Citi Centre - KFC ,"KFC Chennai Citi Centre, IV Floor, 10 & 11, Dr. Radhakrishnan Salai, Mylapore, Pin 600004",13.04294736,80.27390906,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,108,Chennai,Tamil Nadu
109,Coromandel Plaza - KFC  ,"KFC Coromondel Plaza, 33, Navalur Vlg, Chengelpet Taluk, Kanchipuram, Pin 603103",12.8503235,80.2261884,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,109,Chennai,Tamil Nadu
110,ECR - KFC  ,"KFC No:1/74, ECR Road, Kottivakkam, Pin 600041",12.967983,80.257388,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,110,Chennai,Tamil Nadu
111,Vijaya Forum Mall - KFC,"KFC Restaurant, The Vijaya Forum Mall, Upper Ground Floor, # 180 To 188, NSK Salai, Arcot Road, Pin 600026",13.05119787,80.20930812,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,111,Chennai,Tamil Nadu
112,Express Avenue - KFC ,"KFC Shop No: Restrt - 2, Express Avenue, 49/50 L, 3rd Floor, Food Court, Whites Road, Royapettah, Pin 600014",13.058464,80.264453,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,112,Chennai,Tamil Nadu
113,Kanchipuram - KFC  ,"KFC Plot No-27, 28, 29, Vadivel Nagar, Enathur Village, Kancheepuram, Next To Meenakshi Medical College, Karrapettai Post, Kanchipuram, Pin 631552",12.871314,79.7200299,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,113,Chennai,Tamil Nadu
