car_name,car_link,brand_name,status,brand_link,tag_price,transaction_price,car_detail_name_name,oem_name_final
Cayman,https://www.autohome.com.cn/415/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,N/A,N/A,,N/A
北京BJ30,https://www.autohome.com.cn/5771/#pvareaid=6834145,北京(146),停售,https://car.autohome.com.cn/price/brand-27-0-3-1.html,9.99-13.69万元,9.99-13.69万,北京BJ30,北京越野
北京BJ40,https://www.autohome.com.cn/623/#pvareaid=6834145,北京(146),停售,https://car.autohome.com.cn/price/brand-27-0-3-1.html,13.98-26.99万元,13.98-26.99万,北京BJ40,北京越野
北京BJ60,https://www.autohome.com.cn/6590/#pvareaid=6834145,北京(146),在售,https://car.autohome.com.cn/price/brand-27.html,23.98-28.58万元,23.98-28.58万,北京BJ60,北京越野
北京BJ80,https://www.autohome.com.cn/2852/#pvareaid=6834145,北京(146),停售,https://car.autohome.com.cn/price/brand-27-0-3-1.html,29.49-43.80万元,29.49-39.80万,北京BJ80,北京越野
北京BJ90,https://www.autohome.com.cn/3972/#pvareaid=6834145,北京(146),停售,https://car.autohome.com.cn/price/brand-27-0-3-1.html,47.80-49.80万元,45.80-47.80万,北京BJ90,北京越野
北京BJ60新能源,https://www.autohome.com.cn/7513/#pvareaid=6834145,北京(146),即将销售,https://car.autohome.com.cn/price/brand-27-0-2-1.html,暂无,N/A,北京BJ60新能源,北京越野
北京BJ20,https://www.autohome.com.cn/3800/#pvareaid=6834145,北京(146),停售,https://car.autohome.com.cn/price/brand-27-0-3-1.html,N/A,N/A,,N/A
北京F40,https://www.autohome.com.cn/5338/#pvareaid=6834145,北京(146),停售,https://car.autohome.com.cn/price/brand-27-0-3-1.html,14.98-16.99万元,N/A,北京F40,北京越野
北京EU5,https://www.autohome.com.cn/5058/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,12.99-17.19万元,9.98-15.89万,北京EU5,北京汽车
北京EU5 PLUS,https://www.autohome.com.cn/6172/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,12.99-18.59万元,8.99-14.59万,北京EU5 PLUS,北京汽车
北京U5 PLUS,https://www.autohome.com.cn/6173/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,7.99-8.79万元,6.49-7.29万,北京U5 PLUS,北京汽车
北京EU7,https://www.autohome.com.cn/5189/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,15.99-17.59万元,13.49-15.09万,北京EU7,北京汽车
北京U7,https://www.autohome.com.cn/4987/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,8.79-12.29万元,6.99-9.29万,北京U7,北京汽车
北京X3,https://www.autohome.com.cn/5261/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,5.99-8.79万元,5.69-8.49万,北京X3,北京汽车
北京EX5,https://www.autohome.com.cn/5022/#pvareaid=6834145,北京汽车(285),在售,https://car.autohome.com.cn/price/brand-173.html,16.99-19.99万元,11.99-14.99万,北京EX5,北京汽车
北京X7,https://www.autohome.com.cn/5624/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,11.99-13.99万元,9.49-11.49万,北京X7,北京汽车
魔方,https://www.autohome.com.cn/6478/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,9.99-13.19万元,8.49-11.69万,魔方,北京汽车
北京汽车E系列,https://www.autohome.com.cn/2252/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,N/A,N/A,,N/A
绅宝D20,https://www.autohome.com.cn/3557/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,N/A,N/A,,N/A
北京U5,https://www.autohome.com.cn/5652/#pvareaid=6834145,北京汽车(285),停售,https://car.autohome.com.cn/price/brand-173-0-3-1.html,N/A,N/A,,N/A
