store_name,store_linnk,store_locality,store_phone_numbers,store_address
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-avtar-colony-karnal-30290/home,Karnal,0721 7888 051,"Shop No 551, Plot, No 8, Kunjpura Road, Avtar Colony, Karnal, Haryana 132022"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-bukhara-bijnor-30543/home,Bijnor,0914 9255 958,"Neel Kamal Road, Punjabi Colony, Near Srs Cinema Civil Lines, Bukhara, Bijnor, Uttar Pradesh 246701"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-amroha-mainpuri-30289/home,Mainpuri,0896 0902 937,"Krishna Complex Joya Road 1255, Mauja Auden Padariya, Amroha, Mainpuri, Uttar Pradesh 205001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-lajpat-nagar-alwar-30309/home,Alwar,0935 4575 134,"Krishna Trade Tower, Jai Marg, Near Aravali Toyota Showroom, Lajpat Nagar, Alwar, Rajasthan 301001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-krishna-nagar-mathura-30287/home,Mathura,0721 7888 175,"Killa No 26/2-26/4, Khasra No 369, Krishna Nagar, Mathura, Uttar Pradesh 281001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-dampier-nagar-mathura-30406/home,Mathura,0928 9293 682,"SBI Chowk, Hathras - Mathura Road, Near SBI Circle, Dampier Nagar, Mathura, Uttar Pradesh 281001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-sambhal-moradabad-30280/home,Moradabad,0931 1955 757,"Moradabad Road, Begum Sarai, Near SDM Court, Sambhal, Moradabad, Uttar Pradesh 244302"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-line-par-moradabad-40455/home,Moradabad,0701 7571 619,"Mansarover Colony, Delhi Road, Beside Parsvnath Plaza II, Line Par, Moradabad, Uttar Pradesh 244001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-adarsh-colony-moradabad-30190/home,Moradabad,0999 7684 079,"Madhubani Complex, Himgiri Colony Road, Adarsh Colony, Moradabad, Uttar Pradesh 244001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-mission-compound-saharanpur-30211/home,Saharanpur,0721 7888 242,"Shop No 2A/28, Banka Complex, Court Road, Mission Compound, Saharanpur, Uttar Pradesh 247001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-industrial-area-hisar-30408/home,Hisar,0721 7888 140,"Suncity Mall, Delhi Road, Industrial Area, Hisar, Haryana 125001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-chandausi-moradabad-32154/home,Moradabad,0989 7384 994,"Railway Road, Mahavir Chowk, Opposite Sale Tax Office, Chandausi, Moradabad, Uttar Pradesh 244412"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-najibabad-bijnor-30221/home,Bijnor,0969 5884 770,"Jalalabad Road, Opposite Krishna Nursing Home, Najibabad, Bijnor, Uttar Pradesh 246763"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-dd-colony-kurukshetra-30584/home,Kurukshetra,0721 7888 345,"Arora Palace, Near New Bus Stand, DD Colony, Kurukshetra, Haryana 136118"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-roorkee-haridwar-30569/home,Haridwar,0721 7888 017,"Shop No 39/343, Civil Lines, National Highway 73, Near BSNL Office, Roorkee, Haridwar, Uttarakhand 247667"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-kasganj-etah-30589/home,Etah,0124 4555 100,"SB Plaza, Main Market, Nadrai Gate, Kasganj, Etah, Uttar Pradesh 207123"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-devpura-haridwar-30598/home,Haridwar,0931 1955 760,"Old Ranipur More, Adjacent Aakash Institute, Vikas Colony, Govindpuri, Devpura, Haridwar, Uttarakhand 249401"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-jagadhri-gurugram-30572/home,Gurugram,0836 0385 845,"Civil Lines Road, Near Town Hall, Jagadhri, Gurugram, Haryana 122003"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-lohamandi-agra-30581/home,Agra,0859 5918 012,"Shop No 15, Sikandra-Bodla Road, Sector 9, Sulabh Puram Colony, Near Kargil Petrol Pump, Lohamandi, Agra, Uttar Pradesh 282007"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-khandari-agra-30353/home,Agra,0721 7888 104,"Gate No 537-538, Bhagwan Talkies Crossing, Sanjay Nagar, Pashupati Colony, Near Tulsi Cinema, Khandari, Agra, Uttar Pradesh 282005"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-nav-durga-estate-tohana-41989/home,Tohana,0771 9630 469,"Hisar Tohana Road, Krishna Colony, Near Jio BP Petrol Pump, Nav Durga Estate, Tohana, Haryana 125120"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-gayatri-puram-colony-rampur-30227/home,Rampur,0721 7887 945,"Kothi Khas Bagh Road, Opposite ICICI Bank, Gayatri Puram Colony, Rampur, Uttar Pradesh 244901"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-kotdwar-pauri-garhwal-30314/home,Pauri Garhwal,0995 3471 046,"Devi Road, Opposite Hp Petrol Pump, Kotdwar, Pauri Garhwal, Uttarakhand 246149"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-rakabganj-agra-30430/home,Agra,0721 7888 167,"Shop No 25/26, 1-2, Fatehabad Road, Tajganj, Near Shanti Manglik Hospital, Rakabganj, Agra, Uttar Pradesh 282001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-kashipur-udham-singh-nagar-30604/home,Udham Singh Nagar,0721 7888 158,"SRS Mall, Ground Floor, Ratan Cinema Road, Kashipur, Udham Singh Nagar, Uttarakhand 244713"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-milap-nagar-jhunjhunu-42278/home,Jhunjhunu,0895 5649 044,"Chidawa Road, Near Peru Singh Circle, Near Peru Singh Circle, Milap Nagar, Jhunjhunu, Rajasthan 333001"
